student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,100.0,15.0,0.0,0.0,100.0,15.0,-35.0,-21.0,1,10,9.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
3,92.65,13.9,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.1,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,98.53,14.78,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.22,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
5,100.0,15.0,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
6,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,94.12,14.12,0.0,0.0,0.0,0.0,-38.0,-22.8,1,10,-8.68,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-38.00 < 50,НЕТ
8,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,97.06,14.56,0.0,0.0,0.0,0.0,-35.0,-21.0,1,10,-6.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-35.00 < 50,НЕТ
10,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,92.65,13.9,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.1,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,92.65,13.9,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-16.1,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
