student_id,S_пос,S_опр,S_док,S_лаб,ЛР_сдано,ЛР_всего,Рейтинг_до_штрафа,Штраф_ЛР,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
2,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
3,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
4,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
5,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
6,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
7,5.88,0.0,0.0,7.0,10,10,5.08,0,nan,НЕТ,0,0.0,ДА,S_лаб=7.00 < 50,НЕТ
8,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
9,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
10,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
11,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
12,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
13,0.0,0.0,0.0,0.0,10,10,0.0,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
14,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
15,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
16,0.0,0.0,0.0,0.0,10,10,0.0,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
17,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
18,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
19,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
20,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
21,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
22,0.0,0.0,0.0,0.0,10,10,0.0,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
23,0.0,0.0,0.0,0.0,10,10,0.0,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
24,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
25,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
26,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
27,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
28,5.88,0.0,0.0,0.0,10,10,0.88,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
29,4.41,0.0,0.0,0.0,10,10,0.66,0,nan,НЕТ,0,0.0,ДА,S_лаб=0.00 < 50,НЕТ
