student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
10,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
13,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
14,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
16,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
17,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
18,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
19,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
20,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
21,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
22,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
23,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
24,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
25,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
26,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
27,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
28,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
29,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,10,-30.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
